2023-01-22 07:19:29,438 INFO    MainThread:1390438 [wandb_setup.py:_flush():68] Configure stats pid to 1390438
2023-01-22 07:19:29,439 INFO    MainThread:1390438 [wandb_setup.py:_flush():68] Loading settings from /u/home/zhousiy/.config/wandb/settings
2023-01-22 07:19:29,439 INFO    MainThread:1390438 [wandb_setup.py:_flush():68] Loading settings from /data2/practical-wise2223/MeshBody/BodyMeshGNN/wandb/settings
2023-01-22 07:19:29,439 INFO    MainThread:1390438 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-22 07:19:29,439 INFO    MainThread:1390438 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'training.py', 'program': 'training.py'}
2023-01-22 07:19:29,439 INFO    MainThread:1390438 [wandb_init.py:_log_setup():478] Logging user logs to /data2/practical-wise2223/MeshBody/BodyMeshGNN/wandb/run-20230122_071929-wnzx8q0t/logs/debug.log
2023-01-22 07:19:29,439 INFO    MainThread:1390438 [wandb_init.py:_log_setup():479] Logging internal logs to /data2/practical-wise2223/MeshBody/BodyMeshGNN/wandb/run-20230122_071929-wnzx8q0t/logs/debug-internal.log
2023-01-22 07:19:29,439 INFO    MainThread:1390438 [wandb_init.py:init():518] calling init triggers
2023-01-22 07:19:29,439 INFO    MainThread:1390438 [wandb_init.py:init():521] wandb.init called with sweep_config: {}
config: {'experiment_name': 'bmi_prediction_5k', 'batch_size': 64, 'epochs': 200, 'learning_rate': 0.001, 'task': 'regression', 'print_every_n': 200, 'validate_every_n': 200}
2023-01-22 07:19:29,439 INFO    MainThread:1390438 [wandb_init.py:init():571] starting backend
2023-01-22 07:19:29,439 INFO    MainThread:1390438 [wandb_init.py:init():575] setting up manager
2023-01-22 07:19:29,443 INFO    MainThread:1390438 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-01-22 07:19:29,446 INFO    MainThread:1390438 [wandb_init.py:init():582] backend started and connected
2023-01-22 07:19:29,448 INFO    MainThread:1390438 [wandb_init.py:init():670] updated telemetry
2023-01-22 07:19:29,681 INFO    MainThread:1390438 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2023-01-22 07:19:30,075 INFO    MainThread:1390438 [wandb_run.py:_on_init():2121] communicating current version
2023-01-22 07:19:30,141 INFO    MainThread:1390438 [wandb_run.py:_on_init():2125] got version response 
2023-01-22 07:19:30,141 INFO    MainThread:1390438 [wandb_init.py:init():758] starting run threads in backend
2023-01-22 07:19:33,247 INFO    MainThread:1390438 [wandb_run.py:_console_start():2101] atexit reg
2023-01-22 07:19:33,248 INFO    MainThread:1390438 [wandb_run.py:_redirect():1959] redirect: SettingsConsole.WRAP_RAW
2023-01-22 07:19:33,248 INFO    MainThread:1390438 [wandb_run.py:_redirect():2024] Wrapping output streams.
2023-01-22 07:19:33,248 INFO    MainThread:1390438 [wandb_run.py:_redirect():2046] Redirects installed.
2023-01-22 07:19:33,249 INFO    MainThread:1390438 [wandb_init.py:init():798] run started, returning control to user process
2023-01-22 07:19:43,174 WARNING MsgRouterThr:1390438 [router.py:message_loop():77] message_loop has been closed
